Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00411,000205500,212.25,21.35,000.00,0
00412,000206000,213.00,21.35,000.00,0
00413,000206500,213.00,21.35,000.00,0
00414,000207000,213.00,21.35,000.00,0
00415,000207500,212.75,21.36,000.00,0
00416,000208000,213.25,21.36,000.00,0
00417,000208500,213.25,21.35,000.00,0
00418,000209000,213.25,21.35,000.00,0
00419,000209500,213.50,21.35,000.00,0
00420,000210000,213.50,21.36,000.00,0
00421,000210500,213.25,21.35,000.00,0
00422,000211000,213.25,21.35,000.00,0
00423,000211500,213.00,21.35,000.00,0
00424,000212000,214.00,21.35,000.00,0
00425,000212500,213.50,21.34,000.00,0
00426,000213000,213.50,21.34,000.00,0
00427,000213500,213.75,21.35,000.00,0
00428,000214000,213.75,21.36,000.00,0
00429,000214500,214.00,21.36,000.00,0
00430,000215000,214.00,21.36,000.00,0
00431,000215500,214.00,21.36,000.00,0
00432,000216000,213.75,21.36,000.00,0
00433,000216500,213.75,21.37,000.00,0
00434,000217000,213.75,21.37,000.00,0
00435,000217500,213.75,21.36,000.00,0
00436,000218000,213.75,21.36,000.00,0
00437,000218500,213.75,21.36,000.00,0
00438,000219000,213.50,21.37,000.00,0
00439,000219500,213.50,21.36,000.00,0
00440,000220000,213.50,21.37,000.00,0
00441,000220500,213.50,21.37,000.00,0
00442,000221000,213.50,21.36,000.00,0
00443,000221500,213.50,21.36,000.00,0
00444,000222000,212.75,21.36,000.00,0
00445,000222500,212.75,21.36,000.00,0
00446,000223000,212.75,21.35,000.00,0
00447,000223500,212.50,21.37,000.00,0
00448,000224000,212.75,21.36,000.00,0
00449,000224500,212.75,21.36,000.00,0
00450,000225000,212.75,21.36,000.00,0
00451,000225500,212.25,21.36,000.00,0
00452,000226000,212.75,21.36,000.00,0
00453,000226500,212.75,21.36,000.00,0
00454,000227000,211.50,21.36,000.00,0
00455,000227500,211.75,21.37,000.00,0
00456,000228000,211.75,21.37,000.00,0
00457,000228500,211.75,21.37,000.00,0
00458,000229000,211.00,21.37,000.00,0
00459,000229500,211.00,21.37,000.00,0
00460,000230000,210.75,21.36,000.00,0
00461,000230500,210.75,21.36,000.00,0
00462,000231000,210.75,21.37,000.00,0
00463,000231500,210.75,21.37,000.00,0
00464,000232000,210.75,21.36,000.00,0
00465,000232500,210.75,21.36,000.00,0
00466,000233000,210.50,21.36,000.00,0
00467,000233500,210.75,21.38,000.00,0
00468,000234000,210.75,21.38,000.00,0
00469,000234500,210.50,21.37,000.00,0
00470,000235000,210.50,21.37,000.00,0
00471,000235500,210.00,21.37,000.00,0
00472,000236000,210.00,21.37,000.00,0
00473,000236500,210.00,21.37,000.00,0
00474,000237000,210.00,21.38,000.00,0
00475,000237500,209.75,21.37,000.00,0
00476,000238000,209.75,21.37,000.00,0
00477,000238500,209.50,21.37,000.00,0
00478,000239000,209.50,21.37,000.00,0
00479,000239500,209.00,21.37,000.00,0
00480,000240000,209.00,21.37,000.00,0
00481,000240500,209.00,21.38,000.00,0
00482,000241000,209.00,21.37,000.00,0
00483,000241500,208.50,21.37,000.00,0
00484,000242000,208.50,21.37,000.00,0
00485,000242500,207.75,21.38,000.00,0
00486,000243000,207.75,21.37,000.00,0
00487,000243500,207.75,21.38,000.00,0
00488,000244000,207.75,21.38,000.00,0
00489,000244500,207.25,21.38,000.00,0
00490,000245000,207.00,21.37,000.00,0
00491,000245500,206.50,21.38,000.00,0
00492,000246000,206.50,21.38,000.00,0
00493,000246500,206.50,21.38,000.00,0
00494,000247000,206.25,21.37,000.00,0
00495,000247500,206.25,21.38,000.00,0
00496,000248000,206.25,21.38,000.00,0
00497,000248500,206.25,21.38,000.00,0
00498,000249000,205.75,21.38,000.00,0
00499,000249500,205.75,21.38,000.00,0
00500,000250000,205.75,21.39,000.00,0
00501,000250500,205.75,21.38,000.00,0
00502,000251000,205.00,21.38,000.00,0
00503,000251500,205.00,21.38,000.00,0
00504,000252000,204.75,21.38,000.00,0
00505,000252500,205.00,21.38,000.00,0
00506,000253000,204.50,21.39,000.00,0
00507,000253500,204.50,21.39,000.00,0
00508,000254000,204.75,21.38,000.00,0
00509,000254500,204.50,21.38,000.00,0
00510,000255000,204.00,21.38,000.00,0
00511,000255500,204.00,21.38,000.00,0
00512,000256000,203.50,21.38,000.00,0
00513,000256500,203.50,21.38,000.00,0
00514,000257000,203.50,21.39,000.00,0
00515,000257500,203.50,21.39,000.00,0
00516,000258000,203.25,21.38,000.00,0
00517,000258500,203.25,21.38,000.00,0
00518,000259000,203.00,21.39,000.00,0
00519,000259500,203.00,21.39,000.00,0
00520,000260000,202.50,21.39,000.00,0
00521,000260500,202.00,21.39,000.00,0
00522,000261000,201.00,21.38,000.00,0
00523,000261500,201.00,21.38,000.00,0
00524,000262000,201.25,21.38,000.00,0
00525,000262500,201.00,21.39,000.00,0
00526,000263000,200.75,21.39,000.00,0
00527,000263500,200.75,21.39,000.00,0
00528,000264000,200.50,21.38,000.00,0
00529,000264500,200.50,21.39,000.00,0
00530,000265000,200.50,21.39,000.00,0
00531,000265500,200.50,21.39,000.00,0
00532,000266000,200.50,21.38,000.00,0
00533,000266500,200.00,21.39,000.00,0
00534,000267000,200.00,21.39,000.00,0
00535,000267500,199.75,21.39,000.00,0
00536,000268000,199.50,21.39,000.00,0
00537,000268500,198.75,21.39,000.00,0
00538,000269000,198.75,21.39,000.00,0
00539,000269500,198.75,21.40,000.00,0
00540,000270000,198.75,21.40,000.00,0
00541,000270500,198.25,21.39,000.00,0
00542,000271000,198.25,21.39,000.00,0
00543,000271500,198.25,21.39,000.00,0
00544,000272000,197.75,21.40,000.00,0
00545,000272500,197.75,21.40,000.00,0
00546,000273000,197.75,21.40,000.00,0
00547,000273500,197.25,21.40,000.00,0
00548,000274000,196.75,21.39,000.00,0
00549,000274500,196.75,21.39,000.00,0
00550,000275000,196.75,21.39,000.00,0
00551,000275500,196.25,21.39,000.00,0
00552,000276000,196.25,21.40,000.00,0
00553,000276500,195.75,21.40,000.00,0
00554,000277000,195.75,21.40,000.00,0
00555,000277500,195.25,21.40,000.00,0
00556,000278000,195.50,21.40,000.00,0
00557,000278500,195.25,21.41,000.00,0
00558,000279000,195.25,21.41,000.00,0
00559,000279500,194.75,21.40,000.00,0
00560,000280000,194.25,21.40,000.00,0
00561,000280500,194.25,21.40,000.00,0
00562,000281000,194.25,21.40,000.00,0
00563,000281500,194.25,21.40,000.00,0
00564,000282000,193.75,21.39,000.00,0
00565,000282500,193.75,21.39,000.00,0
00566,000283000,193.00,21.39,000.00,0
00567,000283500,193.25,21.39,000.00,0
00568,000284000,193.25,21.41,000.00,0
00569,000284500,193.25,21.41,000.00,0
00570,000285000,193.00,21.40,000.00,0
00571,000285500,192.50,21.41,000.00,0
00572,000286000,192.75,21.40,000.00,0
00573,000286500,192.75,21.40,000.00,0
00574,000287000,192.25,21.41,000.00,0
00575,000287500,192.00,21.41,000.00,0
00576,000288000,192.00,21.41,000.00,0
00577,000288500,192.00,21.41,000.00,0
00578,000289000,191.50,21.40,000.00,0
00579,000289500,191.25,21.41,000.00,0
00580,000290000,191.00,21.41,000.00,0
00581,000290500,191.00,21.41,000.00,0
00582,000291000,190.75,21.41,000.00,0
00583,000291500,190.00,21.42,000.00,0
00584,000292000,189.25,21.41,000.00,0
00585,000292500,189.25,21.41,000.00,0
00586,000293000,188.50,21.42,000.00,0
00587,000293500,188.50,21.41,000.00,0
00588,000294000,188.75,21.41,000.00,0
00589,000294500,188.75,21.41,000.00,0
00590,000295000,188.25,21.40,000.00,0
00591,000295500,188.25,21.42,000.00,0
00592,000296000,187.75,21.41,000.00,0
00593,000296500,187.75,21.41,000.00,0
00594,000297000,187.50,21.41,000.00,0
00595,000297500,187.25,21.41,000.00,0
00596,000298000,187.25,21.41,000.00,0
00597,000298500,187.00,21.41,000.00,0
00598,000299000,186.75,21.41,000.00,0
00599,000299500,187.00,21.42,000.00,0
00600,000300000,187.00,21.42,000.00,0
00601,000300500,186.50,21.41,000.00,0
00602,000301000,186.00,21.42,000.00,0
00603,000301500,185.50,21.41,000.00,0
00604,000302000,185.50,21.41,000.00,0
00605,000302500,185.00,21.42,000.00,0
00606,000303000,184.75,21.42,000.00,0
00607,000303500,184.75,21.41,000.00,0
00608,000304000,184.75,21.41,000.00,0
00609,000304500,184.25,21.42,000.00,0
00610,000305000,184.25,21.42,000.00,0
00611,000305500,184.00,21.42,000.00,0
00612,000306000,184.00,21.42,000.00,0
00613,000306500,183.75,21.42,000.00,0
00614,000307000,183.50,21.41,000.00,0
00615,000307500,183.50,21.42,000.00,0
00616,000308000,183.50,21.42,000.00,0
00617,000308500,183.25,21.42,000.00,0
00618,000309000,182.50,21.41,000.00,0
00619,000309500,182.25,21.41,000.00,0
00620,000310000,182.25,21.41,000.00,0
00621,000310500,182.25,21.43,000.00,0
00622,000311000,181.75,21.42,000.00,0
00623,000311500,181.00,21.42,000.00,0
00624,000312000,181.00,21.42,000.00,0
00625,000312500,181.50,21.42,000.00,0
00626,000313000,180.75,21.42,000.00,0
00627,000313500,180.25,21.43,000.00,0
00628,000314000,180.25,21.43,000.00,0
00629,000314500,180.50,21.42,000.00,0
00630,000315000,180.25,21.42,000.00,0
00631,000315500,180.25,21.42,000.00,0
00632,000316000,180.25,21.42,000.00,0
00633,000316500,180.00,21.42,000.00,0
00634,000317000,180.00,21.43,000.00,0
00635,000317500,180.00,21.43,000.00,0
00636,000318000,179.25,21.42,000.00,0
00637,000318500,179.50,21.42,000.00,0
00638,000319000,179.50,21.42,000.00,0
00639,000319500,179.50,21.42,000.00,0
00640,000320000,179.50,21.42,000.00,0
00641,000320500,178.25,21.43,000.00,0
00642,000321000,179.00,21.42,000.00,0
00643,000321500,179.00,21.42,000.00,0
00644,000322000,178.75,21.43,000.00,0
00645,000322500,178.00,21.43,000.00,0
00646,000323000,177.00,21.42,000.00,0
00647,000323500,177.00,21.42,000.00,0
00648,000324000,177.00,21.43,000.00,0
00649,000324500,177.00,21.42,000.00,0
00650,000325000,176.50,21.42,000.00,0
00651,000325500,176.50,21.42,000.00,0
00652,000326000,176.25,21.42,000.00,0
00653,000326500,176.00,21.42,000.00,0
00654,000327000,176.00,21.42,000.00,0
00655,000327500,176.00,21.42,000.00,0
00656,000328000,176.25,21.43,000.00,0
00657,000328500,175.75,21.43,000.00,0
00658,000329000,175.75,21.43,000.00,0
00659,000329500,175.75,21.43,000.00,0
00660,000330000,175.00,21.43,000.00,0
00661,000330500,174.00,21.42,000.00,0
00662,000331000,174.00,21.42,000.00,0
00663,000331500,173.25,21.43,000.00,0
00664,000332000,173.75,21.42,000.00,0
00665,000332500,174.00,21.43,000.00,0
00666,000333000,174.00,21.43,000.00,0
00667,000333500,173.25,21.43,000.00,0
00668,000334000,173.50,21.43,000.00,0
00669,000334500,173.00,21.43,000.00,0
00670,000335000,173.00,21.43,000.00,0
00671,000335500,172.75,21.43,000.00,0
00672,000336000,172.50,21.43,000.00,0
00673,000336500,172.00,21.43,000.00,0
00674,000337000,172.00,21.43,000.00,0
00675,000337500,171.25,21.43,000.00,0
00676,000338000,171.25,21.43,000.00,0
00677,000338500,171.25,21.43,000.00,0
00678,000339000,171.25,21.43,000.00,0
00679,000339500,171.25,21.44,000.00,0
00680,000340000,170.75,21.43,000.00,0
00681,000340500,170.75,21.44,000.00,0
00682,000341000,170.75,21.44,000.00,0
00683,000341500,170.75,21.43,000.00,0
00684,000342000,170.50,21.44,000.00,0
00685,000342500,170.25,21.45,000.00,0
00686,000343000,170.25,21.45,000.00,0
00687,000343500,170.00,21.44,000.00,0
00688,000344000,169.75,21.44,000.00,0
00689,000344500,169.75,21.44,000.00,0
00690,000345000,169.75,21.44,000.00,0
00691,000345500,168.75,21.44,000.00,0
00692,000346000,168.75,21.44,000.00,0
00693,000346500,168.75,21.44,000.00,0
00694,000347000,168.75,21.43,000.00,0
00695,000347500,168.25,21.44,000.00,0
00696,000348000,168.00,21.44,000.00,0
00697,000348500,168.00,21.44,000.00,0
00698,000349000,168.25,21.44,000.00,0
00699,000349500,167.50,21.45,000.00,0
00700,000350000,167.75,21.44,000.00,0
00701,000350500,167.75,21.44,000.00,0
00702,000351000,167.25,21.45,000.00,0
00703,000351500,167.00,21.45,000.00,0
00704,000352000,166.50,21.44,000.00,0
00705,000352500,166.50,21.44,000.00,0
00706,000353000,166.25,21.46,000.00,0
00707,000353500,165.75,21.44,000.00,0
00708,000354000,165.75,21.44,000.00,0
00709,000354500,165.75,21.44,000.00,0
00710,000355000,165.75,21.45,000.00,0
00711,000355500,165.75,21.45,000.00,0
00712,000356000,166.00,21.45,000.00,0
00713,000356500,166.00,21.45,000.00,0
00714,000357000,165.25,21.46,000.00,0
00715,000357500,165.00,21.46,000.00,0
00716,000358000,165.00,21.46,000.00,0
00717,000358500,165.00,21.46,000.00,0
00718,000359000,165.00,21.46,000.00,0
00719,000359500,164.25,21.46,000.00,0
00720,000360000,164.50,21.46,000.00,0
00721,000360500,164.50,21.46,000.00,0
00722,000361000,164.25,21.45,000.00,0
00723,000361500,164.00,21.46,000.00,0
00724,000362000,163.50,21.47,000.00,0
00725,000362500,163.50,21.47,000.00,0
00726,000363000,163.75,21.45,000.00,0
00727,000363500,163.75,21.46,000.00,0
00728,000364000,163.75,21.46,000.00,0
00729,000364500,163.25,21.46,000.00,0
00730,000365000,163.00,21.46,000.00,0
00731,000365500,162.75,21.45,000.00,0
00732,000366000,162.75,21.45,000.00,0
00733,000366500,162.75,21.45,000.00,0
00734,000367000,162.50,21.45,000.00,0
00735,000367500,162.00,21.46,000.00,0
00736,000368000,162.00,21.46,000.00,0
00737,000368500,161.75,21.46,000.00,0
00738,000369000,161.00,21.46,000.00,0
00739,000369500,161.50,21.47,000.00,0
00740,000370000,161.50,21.47,000.00,0
00741,000370500,161.00,21.47,000.00,0
00742,000371000,160.75,21.47,000.00,0
00743,000371500,160.75,21.48,000.00,0
00744,000372000,160.75,21.48,000.00,0
00745,000372500,159.75,21.47,000.00,0
00746,000373000,159.75,21.47,000.00,0
00747,000373500,159.25,21.46,000.00,0
00748,000374000,159.25,21.46,000.00,0
