,Time (ms),Reference Temperature (C),Control (percent)
728,364000,40.0,30.0
729,364500,40.0,30.0
730,365000,40.0,30.0
731,365500,40.0,30.0
732,366000,40.0,30.0
733,366500,40.0,30.0
734,367000,40.0,30.0
735,367500,40.0,30.0
736,368000,40.0,30.0
737,368500,40.0,30.0
738,369000,40.0,30.0
739,369500,40.0,30.0
740,370000,40.0,30.0
741,370500,40.0,30.0
742,371000,40.0,30.0
743,371500,40.0,30.0
744,372000,40.0,30.0
745,372500,40.0,30.0
746,373000,40.0,30.0
747,373500,40.0,30.0
748,374000,40.0,30.0
749,374500,40.0,30.0
750,375000,40.0,30.0
751,375500,40.0,30.0
752,376000,40.0,30.0
753,376500,40.0,30.0
754,377000,40.0,30.0
755,377500,40.0,30.0
756,378000,40.0,30.0
757,378500,40.0,30.0
758,379000,40.0,30.0
759,379500,40.0,30.0
760,380000,40.0,30.0
761,380500,40.0,30.0
762,381000,40.0,30.0
763,381500,40.0,30.0
764,382000,40.0,30.0
765,382500,40.0,30.0
766,383000,40.0,30.0
767,383500,40.0,30.0
768,384000,40.0,30.0
769,384500,40.0,30.0
770,385000,40.0,30.0
771,385500,40.0,30.0
772,386000,40.0,30.0
773,386500,40.0,30.0
774,387000,40.0,30.0
775,387500,40.0,30.0
776,388000,40.0,30.0
777,388500,40.0,30.0
778,389000,40.0,30.0
779,389500,40.0,30.0
780,390000,40.0,30.0
781,390500,40.0,30.0
782,391000,40.0,30.0
783,391500,40.0,30.0
784,392000,40.0,30.0
785,392500,40.0,30.0
786,393000,40.0,30.0
787,393500,40.0,30.0
788,394000,40.0,30.0
789,394500,40.0,30.0
790,395000,40.0,30.0
791,395500,40.0,30.0
792,396000,40.0,30.0
793,396500,40.0,30.0
794,397000,40.0,30.0
795,397500,40.0,30.0
796,398000,40.0,30.0
797,398500,40.0,30.0
798,399000,40.0,30.0
799,399500,40.0,30.0
800,400000,40.0,30.0
801,400500,40.0,30.0
802,401000,40.0,30.0
803,401500,40.0,30.0
804,402000,40.0,30.0
805,402500,40.0,30.0
806,403000,40.0,30.0
807,403500,40.0,30.0
808,404000,40.0,30.0
809,404500,40.0,30.0
810,405000,40.0,30.0
811,405500,40.0,30.0
812,406000,40.0,30.0
813,406500,40.0,30.0
814,407000,40.0,30.0
815,407500,40.0,30.0
816,408000,40.0,30.0
817,408500,40.0,30.0
818,409000,40.0,30.0
819,409500,40.0,30.0
820,410000,40.0,30.0
821,410500,40.0,30.0
822,411000,40.0,30.0
823,411500,40.0,30.0
824,412000,40.0,30.0
825,412500,40.0,30.0
826,413000,40.0,30.0
827,413500,40.0,30.0
828,414000,40.0,30.0
829,414500,40.0,30.0
830,415000,40.0,30.0
831,415500,40.0,30.0
832,416000,40.0,30.0
833,416500,40.0,30.0
834,417000,40.0,30.0
835,417500,40.0,30.0
836,418000,40.0,30.0
837,418500,40.0,30.0
838,419000,40.0,30.0
839,419500,40.0,30.0
840,420000,40.0,30.0
841,420500,40.0,30.0
842,421000,40.0,30.0
843,421500,40.0,30.0
844,422000,40.0,30.0
845,422500,40.0,30.0
846,423000,40.0,30.0
847,423500,40.0,30.0
848,424000,40.0,30.0
