Index,Time (ms),Temperature (C),pwm_controller (percent)
00376,000188000,063.75,030.00
00377,000188500,064.00,030.00
00378,000189000,064.00,030.00
00379,000189500,064.00,030.00
00380,000190000,064.50,030.00
00381,000190500,064.50,030.00
00382,000191000,064.75,030.00
00383,000191500,064.75,030.00
00384,000192000,064.75,030.00
00385,000192500,065.00,030.00
00386,000193000,065.00,030.00
00387,000193500,065.25,030.00
00388,000194000,065.25,030.00
00389,000194500,065.25,030.00
00390,000195000,065.50,030.00
00391,000195500,065.50,030.00
00392,000196000,066.00,030.00
00393,000196500,066.00,030.00
00394,000197000,066.25,030.00
00395,000197500,066.25,030.00
00396,000198000,066.25,030.00
00397,000198500,067.00,030.00
00398,000199000,067.00,030.00
00399,000199500,067.75,030.00
00400,000200000,067.75,030.00
00401,000200500,067.75,030.00
00402,000201000,067.50,030.00
00403,000201500,067.50,030.00
00404,000202000,068.00,030.00
00405,000202500,068.00,030.00
00406,000203000,068.00,030.00
00407,000203500,068.25,030.00
00408,000204000,068.25,030.00
00409,000204500,069.00,030.00
00410,000205000,069.00,030.00
00411,000205500,069.25,030.00
00412,000206000,069.25,030.00
00413,000206500,069.25,030.00
00414,000207000,069.25,030.00
00415,000207500,069.25,030.00
00416,000208000,070.25,030.00
00417,000208500,070.25,030.00
00418,000209000,070.25,030.00
00419,000209500,070.25,030.00
00420,000210000,070.25,030.00
00421,000210500,070.75,030.00
00422,000211000,070.75,030.00
00423,000211500,071.00,030.00
00424,000212000,071.00,030.00
00425,000212500,071.00,030.00
00426,000213000,071.25,030.00
00427,000213500,071.25,030.00
00428,000214000,071.25,030.00
00429,000214500,071.25,030.00
00430,000215000,071.25,030.00
00431,000215500,072.00,030.00
00432,000216000,072.00,030.00
00433,000216500,072.25,030.00
00434,000217000,072.25,030.00
00435,000217500,072.25,030.00
00436,000218000,072.25,030.00
00437,000218500,072.25,030.00
00438,000219000,073.25,030.00
00439,000219500,073.25,030.00
00440,000220000,073.00,030.00
00441,000220500,073.00,030.00
00442,000221000,073.00,030.00
00443,000221500,074.00,030.00
00444,000222000,074.00,030.00
00445,000222500,074.00,030.00
00446,000223000,074.00,030.00
00447,000223500,074.00,030.00
00448,000224000,074.00,030.00
00449,000224500,074.00,030.00
00450,000225000,074.25,030.00
00451,000225500,074.25,030.00
00452,000226000,075.25,030.00
00453,000226500,075.25,030.00
00454,000227000,075.25,030.00
00455,000227500,075.25,030.00
00456,000228000,075.25,030.00
00457,000228500,075.50,030.00
00458,000229000,075.50,030.00
00459,000229500,075.50,030.00
00460,000230000,076.00,030.00
00461,000230500,076.00,030.00
00462,000231000,076.00,030.00
00463,000231500,076.00,030.00
00464,000232000,076.00,030.00
00465,000232500,076.75,030.00
00466,000233000,076.75,030.00
00467,000233500,076.75,030.00
00468,000234000,076.75,030.00
00469,000234500,077.50,030.00
00470,000235000,077.50,030.00
00471,000235500,077.50,030.00
00472,000236000,077.50,030.00
00473,000236500,077.50,030.00
00474,000237000,078.25,030.00
00475,000237500,078.25,030.00
00476,000238000,078.25,030.00
00477,000238500,078.25,030.00
00478,000239000,078.25,030.00
00479,000239500,078.50,030.00
00480,000240000,078.50,030.00
00481,000240500,078.75,030.00
00482,000241000,078.75,030.00
00483,000241500,078.75,030.00
00484,000242000,079.50,030.00
00485,000242500,079.50,030.00
00486,000243000,079.75,030.00
00487,000243500,079.75,030.00
00488,000244000,079.75,030.00
00489,000244500,080.00,030.00
00490,000245000,080.00,030.00
00491,000245500,080.25,030.00
00492,000246000,080.25,030.00
00493,000246500,080.25,030.00
00494,000247000,080.25,030.00
00495,000247500,080.25,030.00
00496,000248000,080.50,030.00
00497,000248500,080.50,030.00
00498,000249000,080.75,030.00
00499,000249500,080.75,030.00
00500,000250000,080.75,030.00
00501,000250500,081.00,030.00
00502,000251000,081.00,030.00
00503,000251500,081.00,030.00
00504,000252000,081.00,030.00
00505,000252500,081.00,030.00
00506,000253000,081.25,030.00
00507,000253500,081.25,030.00
00508,000254000,081.50,030.00
00509,000254500,081.50,030.00
00510,000255000,081.50,030.00
00511,000255500,082.00,030.00
00512,000256000,082.00,030.00
00513,000256500,082.00,030.00
00514,000257000,082.00,030.00
00515,000257500,082.00,030.00
00516,000258000,082.00,030.00
00517,000258500,082.00,030.00
00518,000259000,082.75,030.00
00519,000259500,082.75,030.00
00520,000260000,083.00,030.00
00521,000260500,083.00,030.00
00522,000261000,083.00,030.00
00523,000261500,083.25,030.00
00524,000262000,083.25,030.00
00525,000262500,083.50,030.00
00526,000263000,083.50,030.00
