Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00171,000085500,052.25,22.31,005.59,0
00172,000086000,053.00,22.30,000.00,0
00173,000086500,053.25,22.31,002.52,0
00174,000087000,053.25,22.31,012.49,0
00175,000087500,053.25,22.30,012.46,0
00176,000088000,053.75,22.30,000.00,0
00177,000088500,053.50,22.30,021.64,0
00178,000089000,053.50,22.30,011.60,0
00179,000089500,054.25,22.31,000.00,0
00180,000090000,054.25,22.30,009.27,0
00181,000090500,054.50,22.30,000.00,0
00182,000091000,054.50,22.30,008.43,0
00183,000091500,054.75,22.29,000.00,0
00184,000092000,055.25,22.30,000.00,0
00185,000092500,055.25,22.30,006.02,0
00186,000093000,055.25,22.30,005.97,0
00187,000093500,055.25,22.31,005.92,0
00188,000094000,055.75,22.30,000.00,0
00189,000094500,055.75,22.30,004.30,0
00190,000095000,056.00,22.31,000.00,0
00191,000095500,056.25,22.31,000.00,0
00192,000096000,056.00,22.32,013.37,0
00193,000096500,056.00,22.32,003.31,0
00194,000097000,056.25,22.30,000.00,0
00195,000097500,057.00,22.31,000.00,0
00196,000098000,057.25,22.31,000.00,0
00197,000098500,057.25,22.31,000.00,0
00198,000099000,056.50,22.30,031.47,0
00199,000099500,057.75,22.31,000.00,0
00200,000100000,057.75,22.31,000.00,0
00201,000100500,057.75,22.31,000.00,0
00202,000101000,057.75,22.30,000.00,0
00203,000101500,058.00,22.31,000.00,0
00204,000102000,058.50,22.31,000.00,0
00205,000102500,058.50,22.31,000.00,0
00206,000103000,058.25,22.31,005.57,0
00207,000103500,059.00,22.31,000.00,0
00208,000104000,059.00,22.31,000.00,0
00209,000104500,059.00,22.31,000.00,0
00210,000105000,059.25,22.31,000.00,0
00211,000105500,058.75,22.32,013.62,0
00212,000106000,059.25,22.32,000.00,0
00213,000106500,059.25,22.32,000.00,0
00214,000107000,059.75,22.32,000.00,0
00215,000107500,060.00,22.32,000.00,0
00216,000108000,059.50,22.32,010.90,0
00217,000108500,059.50,22.32,000.00,0
00218,000109000,059.75,22.31,000.00,0
00219,000109500,060.00,22.32,000.00,0
00220,000110000,060.00,22.32,000.00,0
00221,000110500,060.25,22.31,000.00,0
00222,000111000,060.50,22.31,000.00,0
00223,000111500,060.75,22.32,000.00,0
00224,000112000,060.75,22.32,000.00,0
00225,000112500,060.25,22.31,007.73,0
00226,000113000,060.25,22.32,000.00,0
00227,000113500,061.00,22.32,000.00,0
00228,000114000,061.00,22.32,000.00,0
00229,000114500,061.25,22.32,000.00,0
00230,000115000,061.50,22.31,000.00,0
00231,000115500,061.25,22.31,000.00,0
00232,000116000,061.25,22.31,000.00,0
00233,000116500,061.75,22.32,000.00,0
00234,000117000,061.75,22.32,000.00,0
00235,000117500,062.00,22.32,000.00,0
00236,000118000,062.00,22.32,000.00,0
00237,000118500,062.00,22.31,000.00,0
00238,000119000,062.25,22.32,000.00,0
00239,000119500,062.25,22.32,000.00,0
00240,000120000,062.25,22.32,000.00,0
00241,000120500,062.25,22.32,000.00,0
00242,000121000,062.50,22.31,000.00,0
00243,000121500,062.75,22.31,000.00,0
00244,000122000,062.75,22.31,000.00,0
00245,000122500,062.25,22.30,000.00,0
00246,000123000,062.75,22.31,000.00,0
00247,000123500,063.00,22.31,000.00,0
00248,000124000,063.00,22.31,000.00,0
00249,000124500,063.00,22.31,000.00,0
00250,000125000,063.00,22.31,000.00,0
00251,000125500,063.00,22.31,000.00,0
00252,000126000,062.50,22.32,000.00,0
00253,000126500,063.00,22.32,000.00,0
00254,000127000,063.25,22.31,000.00,0
00255,000127500,063.25,22.31,000.00,0
00256,000128000,063.50,22.31,000.00,0
00257,000128500,063.50,22.31,000.00,0
00258,000129000,063.75,22.32,000.00,0
00259,000129500,063.75,22.32,000.00,0
00260,000130000,063.75,22.31,000.00,0
00261,000130500,063.75,22.31,000.00,0
00262,000131000,064.25,22.31,000.00,0
00263,000131500,064.25,22.31,000.00,0
00264,000132000,063.25,22.32,013.83,0
00265,000132500,064.25,22.31,000.00,0
00266,000133000,064.25,22.31,000.00,0
00267,000133500,064.25,22.31,000.00,0
00268,000134000,064.50,22.31,000.00,0
00269,000134500,064.25,22.31,000.00,0
00270,000135000,064.50,22.32,000.00,0
00271,000135500,064.50,22.32,000.00,0
00272,000136000,064.75,22.32,000.00,0
00273,000136500,064.25,22.31,000.00,0
00274,000137000,064.50,22.31,000.00,0
00275,000137500,064.50,22.31,000.00,0
00276,000138000,065.00,22.31,000.00,0
00277,000138500,065.00,22.31,000.00,0
00278,000139000,065.25,22.31,000.00,0
00279,000139500,065.25,22.31,000.00,0
00280,000140000,065.00,22.32,000.00,0
00281,000140500,064.75,22.31,000.00,0
00282,000141000,065.50,22.32,000.00,0
00283,000141500,065.50,22.32,000.00,0
00284,000142000,065.25,22.32,000.00,0
00285,000142500,065.25,22.32,000.00,0
00286,000143000,065.25,22.32,000.00,0
00287,000143500,065.75,22.32,000.00,0
00288,000144000,065.75,22.31,000.00,0
00289,000144500,065.75,22.31,000.00,0
00290,000145000,065.75,22.31,000.00,0
00291,000145500,066.00,22.31,000.00,0
00292,000146000,065.75,22.31,000.00,0
00293,000146500,066.00,22.31,000.00,0
00294,000147000,066.00,22.31,000.00,0
00295,000147500,066.00,22.32,000.00,0
00296,000148000,065.50,22.32,000.00,0
00297,000148500,066.00,22.32,000.00,0
00298,000149000,066.00,22.32,000.00,0
00299,000149500,066.00,22.32,000.00,0
00300,000150000,066.00,22.31,000.00,0
