Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00568,000284000,073.25,22.49,090.41,0
00569,000284500,073.50,22.49,070.64,0
00570,000285000,073.50,22.49,081.63,0
00571,000285500,073.50,22.49,082.62,0
00572,000286000,074.25,22.48,051.36,0
00573,000286500,074.00,22.49,093.11,0
00574,000287000,074.50,22.48,062.59,0
00575,000287500,074.50,22.48,083.59,0
00576,000288000,074.25,22.49,095.33,0
00577,000288500,075.00,22.49,054.08,0
00578,000289000,075.00,22.49,085.07,0
00579,000289500,075.00,22.49,086.07,0
00580,000290000,075.25,22.49,076.32,0
00581,000290500,075.50,22.49,076.56,0
00582,000291000,075.75,22.49,076.81,0
00583,000291500,075.75,22.49,087.81,0
00584,000292000,076.00,22.49,078.06,0
00585,000292500,075.50,22.49,100.00,0
00586,000293000,075.50,22.49,091.58,0
00587,000293500,076.00,22.50,071.09,0
00588,000294000,076.50,22.49,070.59,0
00589,000294500,076.75,22.50,080.85,0
00590,000295000,076.75,22.50,091.86,0
00591,000295500,076.75,22.48,092.86,0
00592,000296000,077.75,22.49,050.87,0
00593,000296500,078.00,22.48,081.12,0
00594,000297000,078.00,22.48,092.12,0
00595,000297500,078.00,22.49,093.13,0
00596,000298000,078.50,22.49,072.64,0
00597,000298500,078.25,-40.00,100.00,0
00598,000299000,078.25,-40.00,095.41,0
00599,000299500,079.00,22.48,064.17,0
00600,000300000,079.25,22.48,084.42,0
00601,000300500,080.00,22.49,064.97,0
00602,000301000,080.00,22.49,096.10,0
00603,000301500,080.00,22.49,097.23,0
00604,000302000,080.00,22.50,098.37,0
00605,000302500,080.75,22.49,067.25,0
00606,000303000,080.75,22.49,098.39,0
00607,000303500,081.00,22.49,088.77,0
00608,000304000,081.75,22.49,067.65,0
00609,000304500,082.00,22.49,088.04,0
00610,000305000,082.00,22.49,099.17,0
00611,000305500,081.75,22.50,100.00,0
00612,000306000,082.50,22.49,069.94,0
00613,000306500,082.50,22.49,100.00,0
00614,000307000,082.50,22.49,100.00,0
00615,000307500,083.50,22.50,060.36,0
00616,000308000,083.75,22.49,090.74,0
00617,000308500,083.75,22.49,100.00,0
00618,000309000,084.00,22.49,092.27,0
00619,000309500,084.75,22.48,071.15,0
00620,000310000,085.50,22.50,070.03,0
00621,000310500,085.50,22.50,100.00,0
