Index,Time (ms),Temperature (C),pwm_controller (percent)
00209,000104500,066.50,100.00
00210,000105000,066.50,100.00
00211,000105500,068.50,100.00
00212,000106000,068.50,100.00
00213,000106500,070.00,100.00
00214,000107000,070.00,100.00
00215,000107500,070.00,100.00
00216,000108000,071.50,100.00
00217,000108500,071.50,100.00
00218,000109000,073.50,100.00
00219,000109500,073.50,100.00
00220,000110000,073.50,100.00
00221,000110500,075.00,100.00
00222,000111000,075.00,100.00
00223,000111500,076.75,100.00
00224,000112000,076.75,100.00
00225,000112500,078.25,100.00
00226,000113000,078.25,100.00
00227,000113500,078.25,100.00
00228,000114000,080.25,100.00
00229,000114500,080.25,100.00
00230,000115000,081.50,100.00
00231,000115500,081.50,100.00
00232,000116000,081.50,100.00
00233,000116500,083.50,100.00
00234,000117000,083.50,100.00
00235,000117500,085.00,100.00
00236,000118000,085.00,100.00
00237,000118500,085.00,100.00
00238,000119000,086.75,100.00
00239,000119500,086.75,100.00
00240,000120000,089.00,100.00
00241,000120500,089.00,100.00
00242,000121000,090.50,100.00
00243,000121500,090.50,100.00
00244,000122000,090.50,100.00
00245,000122500,092.50,100.00
00246,000123000,092.50,100.00
00247,000123500,094.00,100.00
00248,000124000,094.00,100.00
00249,000124500,094.00,100.00
00250,000125000,096.00,100.00
00251,000125500,096.00,100.00
00252,000126000,098.00,100.00
00253,000126500,098.00,100.00
00254,000127000,099.50,100.00
00255,000127500,099.50,100.00
00256,000128000,099.50,100.00
00257,000128500,101.75,000.00
00258,000129000,101.75,000.00
00259,000129500,103.75,000.00
00260,000130000,103.75,000.00
00261,000130500,103.75,000.00
00262,000131000,105.25,000.00
00263,000131500,105.25,000.00
00264,000132000,107.00,000.00
00265,000132500,107.00,000.00
00266,000133000,107.00,000.00
00267,000133500,109.50,000.00
00268,000134000,109.50,000.00
00269,000134500,111.25,000.00
00270,000135000,111.25,000.00
00271,000135500,112.25,000.00
00272,000136000,112.25,000.00
00273,000136500,112.25,000.00
00274,000137000,114.00,000.00
00275,000137500,114.00,000.00
00276,000138000,115.50,000.00
00277,000138500,115.50,000.00
00278,000139000,115.50,000.00
00279,000139500,117.25,000.00
00280,000140000,117.25,000.00
00281,000140500,118.75,000.00
00282,000141000,118.75,000.00
00283,000141500,118.75,000.00
00284,000142000,119.75,000.00
00285,000142500,119.75,000.00
00286,000143000,120.50,000.00
00287,000143500,120.50,000.00
00288,000144000,122.25,000.00
00289,000144500,122.25,000.00
00290,000145000,122.25,000.00
00291,000145500,123.25,000.00
00292,000146000,123.25,000.00
00293,000146500,124.25,000.00
00294,000147000,124.25,000.00
00295,000147500,124.25,000.00
00296,000148000,125.25,000.00
00297,000148500,125.25,000.00
00298,000149000,126.00,000.00
00299,000149500,126.00,000.00
00300,000150000,126.50,000.00
00301,000150500,126.50,000.00
00302,000151000,126.50,000.00
00303,000151500,127.50,000.00
00304,000152000,127.50,000.00
00305,000152500,128.25,000.00
00306,000153000,128.25,000.00
00307,000153500,128.25,000.00
00308,000154000,128.75,000.00
00309,000154500,128.75,000.00
00310,000155000,129.25,000.00
00311,000155500,129.25,000.00
00312,000156000,129.25,000.00
00313,000156500,130.25,000.00
00314,000157000,130.25,000.00
00315,000157500,130.50,000.00
00316,000158000,130.50,000.00
00317,000158500,130.75,000.00
00318,000159000,130.75,000.00
00319,000159500,130.75,000.00
00320,000160000,131.50,000.00
00321,000160500,131.50,000.00
00322,000161000,131.75,000.00
00323,000161500,131.75,000.00
00324,000162000,131.75,000.00
00325,000162500,132.50,000.00
00326,000163000,132.50,000.00
00327,000163500,133.00,000.00
00328,000164000,133.00,000.00
00329,000164500,133.25,000.00
00330,000165000,133.25,000.00
00331,000165500,133.25,000.00
00332,000166000,133.75,000.00
00333,000166500,133.75,000.00
00334,000167000,134.00,000.00
00335,000167500,134.00,000.00
00336,000168000,134.00,000.00
00337,000168500,134.50,000.00
00338,000169000,134.50,000.00
00339,000169500,134.50,000.00
00340,000170000,134.50,000.00
00341,000170500,134.50,000.00
00342,000171000,134.75,000.00
00343,000171500,134.75,000.00
00344,000172000,135.25,000.00
00345,000172500,135.25,000.00
00346,000173000,135.75,000.00
00347,000173500,135.75,000.00
00348,000174000,135.75,000.00
00349,000174500,135.75,000.00
00350,000175000,135.75,000.00
00351,000175500,136.00,000.00
00352,000176000,136.00,000.00
00353,000176500,136.00,000.00
00354,000177000,136.25,000.00
00355,000177500,136.25,000.00
00356,000178000,136.00,000.00
00357,000178500,136.00,000.00
00358,000179000,136.00,000.00
00359,000179500,136.50,000.00
00360,000180000,136.50,000.00
00361,000180500,136.75,000.00
00362,000181000,136.75,000.00
00363,000181500,137.00,000.00
00364,000182000,137.00,000.00
00365,000182500,137.00,000.00
00366,000183000,137.25,000.00
00367,000183500,137.25,000.00
00368,000184000,137.50,000.00
00369,000184500,137.50,000.00
00370,000185000,137.50,000.00
00371,000185500,137.50,000.00
00372,000186000,137.50,000.00
00373,000186500,137.75,000.00
00374,000187000,137.75,000.00
00375,000187500,137.75,000.00
00376,000188000,137.75,000.00
00377,000188500,137.75,000.00
00378,000189000,137.50,000.00
00379,000189500,137.50,000.00
00380,000190000,138.00,000.00
00381,000190500,138.00,000.00
00382,000191000,138.00,000.00
00383,000191500,138.00,000.00
00384,000192000,138.00,000.00
00385,000192500,138.25,000.00
00386,000193000,138.25,000.00
00387,000193500,138.25,000.00
00388,000194000,138.25,000.00
00389,000194500,138.25,000.00
00390,000195000,138.25,000.00
00391,000195500,138.25,000.00
00392,000196000,138.25,000.00
00393,000196500,138.25,000.00
00394,000197000,138.25,000.00
00395,000197500,138.00,000.00
00396,000198000,138.00,000.00
00397,000198500,138.50,000.00
00398,000199000,138.50,000.00
00399,000199500,138.50,000.00
00400,000200000,138.50,000.00
00401,000200500,138.50,000.00
00402,000201000,138.50,000.00
00403,000201500,138.50,000.00
00404,000202000,138.25,000.00
00405,000202500,138.25,000.00
00406,000203000,138.25,000.00
00407,000203500,138.50,000.00
00408,000204000,138.50,000.00
00409,000204500,138.00,000.00
00410,000205000,138.00,000.00
00411,000205500,138.00,000.00
00412,000206000,138.00,000.00
00413,000206500,138.00,000.00
00414,000207000,138.50,000.00
00415,000207500,138.50,000.00
00416,000208000,138.50,000.00
00417,000208500,138.00,000.00
00418,000209000,138.00,000.00
00419,000209500,138.25,000.00
00420,000210000,138.25,000.00
00421,000210500,138.25,000.00
00422,000211000,138.25,000.00
00423,000211500,138.25,000.00
00424,000212000,138.00,000.00
00425,000212500,138.00,000.00
00426,000213000,138.00,000.00
00427,000213500,138.00,000.00
00428,000214000,138.00,000.00
00429,000214500,137.50,000.00
00430,000215000,137.50,000.00
00431,000215500,137.75,000.00
00432,000216000,137.75,000.00
00433,000216500,138.00,000.00
00434,000217000,138.00,000.00
00435,000217500,138.00,000.00
00436,000218000,137.75,000.00
00437,000218500,137.75,000.00
00438,000219000,136.75,000.00
00439,000219500,136.75,000.00
00440,000220000,136.75,000.00
00441,000220500,137.25,000.00
00442,000221000,137.25,000.00
00443,000221500,137.75,000.00
00444,000222000,137.75,000.00
00445,000222500,137.75,000.00
00446,000223000,137.00,000.00
00447,000223500,137.00,000.00
00448,000224000,136.75,000.00
00449,000224500,136.75,000.00
00450,000225000,137.25,000.00
00451,000225500,137.25,000.00
00452,000226000,137.25,000.00
00453,000226500,137.00,000.00
00454,000227000,137.00,000.00
00455,000227500,137.00,000.00
00456,000228000,137.00,000.00
00457,000228500,137.00,000.00
00458,000229000,137.00,000.00
00459,000229500,137.00,000.00
00460,000230000,136.75,000.00
00461,000230500,136.75,000.00
00462,000231000,136.75,000.00
00463,000231500,136.50,000.00
00464,000232000,136.50,000.00
00465,000232500,136.00,000.00
00466,000233000,136.00,000.00
00467,000233500,135.75,000.00
00468,000234000,135.75,000.00
00469,000234500,135.75,000.00
00470,000235000,135.75,000.00
00471,000235500,135.75,000.00
00472,000236000,135.75,000.00
00473,000236500,135.75,000.00
00474,000237000,135.75,000.00
00475,000237500,135.50,000.00
00476,000238000,135.50,000.00
00477,000238500,135.25,000.00
00478,000239000,135.25,000.00
00479,000239500,135.25,000.00
00480,000240000,135.25,000.00
00481,000240500,135.25,000.00
00482,000241000,135.00,000.00
00483,000241500,135.00,000.00
00484,000242000,135.25,000.00
00485,000242500,135.25,000.00
00486,000243000,135.25,000.00
00487,000243500,135.25,000.00
00488,000244000,135.25,000.00
00489,000244500,135.00,000.00
00490,000245000,135.00,000.00
00491,000245500,135.00,000.00
00492,000246000,134.75,000.00
00493,000246500,134.75,000.00
00494,000247000,134.50,000.00
00495,000247500,134.50,000.00
00496,000248000,134.25,000.00
00497,000248500,134.25,000.00
00498,000249000,134.25,000.00
00499,000249500,133.75,000.00
00500,000250000,133.75,000.00
00501,000250500,134.00,000.00
00502,000251000,134.00,000.00
00503,000251500,134.00,000.00
00504,000252000,133.50,000.00
00505,000252500,133.50,000.00
00506,000253000,133.50,000.00
00507,000253500,133.50,000.00
00508,000254000,132.75,000.00
00509,000254500,132.75,000.00
00510,000255000,132.75,000.00
00511,000255500,133.25,000.00
00512,000256000,133.25,000.00
00513,000256500,132.75,000.00
00514,000257000,132.75,000.00
00515,000257500,132.75,000.00
00516,000258000,132.75,000.00
00517,000258500,132.75,000.00
00518,000259000,132.25,000.00
00519,000259500,132.25,000.00
00520,000260000,132.25,000.00
00521,000260500,132.75,000.00
00522,000261000,132.75,000.00
00523,000261500,132.00,000.00
00524,000262000,132.00,000.00
00525,000262500,131.75,000.00
00526,000263000,131.75,000.00
00527,000263500,131.75,000.00
00528,000264000,132.00,000.00
00529,000264500,132.00,000.00
00530,000265000,131.75,000.00
00531,000265500,131.75,000.00
00532,000266000,131.75,000.00
00533,000266500,131.75,000.00
00534,000267000,131.75,000.00
00535,000267500,131.25,000.00
00536,000268000,131.25,000.00
00537,000268500,131.25,000.00
00538,000269000,130.50,000.00
00539,000269500,130.50,000.00
00540,000270000,131.00,000.00
00541,000270500,131.00,000.00
00542,000271000,130.50,000.00
00543,000271500,130.50,000.00
00544,000272000,130.50,000.00
00545,000272500,130.00,000.00
00546,000273000,130.00,000.00
00547,000273500,129.75,000.00
00548,000274000,129.75,000.00
00549,000274500,129.75,000.00
00550,000275000,129.75,000.00
00551,000275500,129.75,000.00
00552,000276000,129.50,000.00
00553,000276500,129.50,000.00
00554,000277000,129.75,000.00
00555,000277500,129.75,000.00
00556,000278000,129.75,000.00
00557,000278500,129.25,000.00
00558,000279000,129.25,000.00
00559,000279500,129.25,000.00
00560,000280000,129.25,000.00
00561,000280500,129.25,000.00
00562,000281000,128.75,000.00
00563,000281500,128.75,000.00
00564,000282000,128.25,000.00
00565,000282500,128.25,000.00
00566,000283000,128.25,000.00
00567,000283500,128.00,000.00
00568,000284000,128.00,000.00
00569,000284500,128.50,000.00
00570,000285000,128.50,000.00
00571,000285500,127.75,000.00
00572,000286000,127.75,000.00
00573,000286500,127.75,000.00
00574,000287000,127.75,000.00
00575,000287500,127.75,000.00
00576,000288000,127.75,000.00
00577,000288500,127.75,000.00
00578,000289000,127.75,000.00
00579,000289500,127.50,000.00
00580,000290000,127.50,000.00
00581,000290500,127.25,000.00
00582,000291000,127.25,000.00
00583,000291500,127.00,000.00
00584,000292000,127.00,000.00
00585,000292500,127.00,000.00
00586,000293000,126.75,000.00
00587,000293500,126.75,000.00
00588,000294000,126.00,000.00
00589,000294500,126.00,000.00
00590,000295000,126.00,000.00
00591,000295500,126.25,000.00
00592,000296000,126.25,000.00
00593,000296500,125.75,000.00
00594,000297000,125.75,000.00
00595,000297500,125.75,000.00
00596,000298000,125.75,000.00
00597,000298500,125.75,000.00
00598,000299000,125.75,000.00
00599,000299500,125.75,000.00
00600,000300000,125.50,000.00
00601,000300500,125.50,000.00
00602,000301000,125.50,000.00
00603,000301500,124.75,000.00
00604,000302000,124.75,000.00
00605,000302500,124.75,000.00
00606,000303000,124.75,000.00
00607,000303500,124.75,000.00
00608,000304000,124.25,000.00
00609,000304500,124.25,000.00
00610,000305000,124.50,000.00
00611,000305500,124.50,000.00
00612,000306000,124.25,000.00
00613,000306500,124.25,000.00
00614,000307000,124.25,000.00
00615,000307500,123.75,000.00
00616,000308000,123.75,000.00
00617,000308500,124.00,000.00
00618,000309000,124.00,000.00
00619,000309500,124.00,000.00
00620,000310000,123.25,000.00
00621,000310500,123.25,000.00
00622,000311000,123.00,000.00
00623,000311500,123.00,000.00
00624,000312000,123.00,000.00
00625,000312500,123.25,000.00
00626,000313000,123.25,000.00
00627,000313500,123.25,000.00
00628,000314000,123.25,000.00
00629,000314500,123.00,000.00
00630,000315000,123.00,000.00
00631,000315500,123.00,000.00
00632,000316000,122.50,000.00
00633,000316500,122.50,000.00
00634,000317000,122.25,000.00
00635,000317500,122.25,000.00
00636,000318000,122.25,000.00
00637,000318500,121.75,000.00
00638,000319000,121.75,000.00
00639,000319500,122.00,000.00
00640,000320000,122.00,000.00
00641,000320500,122.00,000.00
00642,000321000,121.75,000.00
00643,000321500,121.75,000.00
00644,000322000,121.50,000.00
00645,000322500,121.50,000.00
00646,000323000,121.25,000.00
00647,000323500,121.25,000.00
00648,000324000,121.25,000.00
00649,000324500,121.00,000.00
00650,000325000,121.00,000.00
00651,000325500,121.00,000.00
00652,000326000,121.00,000.00
00653,000326500,121.00,000.00
00654,000327000,120.25,000.00
00655,000327500,120.25,000.00
00656,000328000,120.50,000.00
00657,000328500,120.50,000.00
00658,000329000,120.50,000.00
00659,000329500,120.50,000.00
00660,000330000,120.50,000.00
00661,000330500,120.00,000.00
00662,000331000,120.00,000.00
00663,000331500,119.75,000.00
00664,000332000,119.75,000.00
00665,000332500,119.75,000.00
00666,000333000,119.75,000.00
00667,000333500,119.75,000.00
00668,000334000,119.50,000.00
00669,000334500,119.50,000.00
00670,000335000,119.50,000.00
00671,000335500,119.25,000.00
00672,000336000,119.25,000.00
00673,000336500,119.50,000.00
00674,000337000,119.50,000.00
00675,000337500,118.75,000.00
00676,000338000,118.75,000.00
00677,000338500,118.75,000.00
00678,000339000,118.25,000.00
00679,000339500,118.25,000.00
00680,000340000,118.00,000.00
00681,000340500,118.00,000.00
00682,000341000,118.00,000.00
00683,000341500,118.00,000.00
00684,000342000,118.00,000.00
00685,000342500,117.75,000.00
00686,000343000,117.75,000.00
00687,000343500,117.00,000.00
00688,000344000,117.00,000.00
00689,000344500,117.00,000.00
00690,000345000,117.50,000.00
00691,000345500,117.50,000.00
00692,000346000,116.75,000.00
00693,000346500,116.75,000.00
00694,000347000,116.75,000.00
00695,000347500,116.75,000.00
00696,000348000,116.75,000.00
00697,000348500,117.00,000.00
00698,000349000,117.00,000.00
00699,000349500,117.00,000.00
00700,000350000,116.75,000.00
00701,000350500,116.75,000.00
00702,000351000,116.75,000.00
00703,000351500,116.75,000.00
00704,000352000,116.25,000.00
00705,000352500,116.25,000.00
00706,000353000,116.25,000.00
00707,000353500,116.25,000.00
00708,000354000,116.25,000.00
00709,000354500,115.50,000.00
00710,000355000,115.50,000.00
00711,000355500,115.50,000.00
00712,000356000,115.25,000.00
00713,000356500,115.25,000.00
00714,000357000,115.25,000.00
00715,000357500,115.25,000.00
00716,000358000,115.25,000.00
00717,000358500,115.50,000.00
00718,000359000,115.50,000.00
00719,000359500,115.50,000.00
00720,000360000,115.50,000.00
00721,000360500,115.00,000.00
00722,000361000,115.00,000.00
00723,000361500,115.00,000.00
00724,000362000,114.25,000.00
00725,000362500,114.25,000.00
00726,000363000,114.25,000.00
00727,000363500,114.25,000.00
00728,000364000,114.25,000.00
00729,000364500,114.00,000.00
00730,000365000,114.00,000.00
00731,000365500,114.25,000.00
00732,000366000,114.25,000.00
00733,000366500,113.75,000.00
00734,000367000,113.75,000.00
00735,000367500,113.75,000.00
00736,000368000,113.75,000.00
00737,000368500,113.75,000.00
00738,000369000,113.25,000.00
00739,000369500,113.25,000.00
00740,000370000,113.25,000.00
00741,000370500,112.75,000.00
00742,000371000,112.75,000.00
00743,000371500,113.25,000.00
00744,000372000,113.25,000.00
00745,000372500,113.25,000.00
00746,000373000,112.75,000.00
00747,000373500,112.75,000.00
00748,000374000,112.75,000.00
00749,000374500,112.75,000.00
00750,000375000,112.00,000.00
00751,000375500,112.00,000.00
00752,000376000,112.00,000.00
00753,000376500,112.25,000.00
00754,000377000,112.25,000.00
00755,000377500,112.25,000.00
00756,000378000,112.25,000.00
00757,000378500,112.25,000.00
00758,000379000,112.00,000.00
00759,000379500,112.00,000.00
00760,000380000,111.75,000.00
00761,000380500,111.75,000.00
00762,000381001,111.50,000.00
00763,000381500,111.50,000.00
00764,000382000,111.50,000.00
00765,000382500,110.75,000.00
00766,000383000,110.75,000.00
00767,000383500,111.00,000.00
00768,000384000,111.00,000.00
00769,000384500,111.00,000.00
00770,000385000,111.00,000.00
00771,000385500,111.00,000.00
00772,000386000,110.75,000.00
00773,000386500,110.75,000.00
00774,000387000,110.75,000.00
00775,000387500,110.25,000.00
00776,000388000,110.25,000.00
00777,000388500,110.25,000.00
00778,000389000,110.25,000.00
00779,000389500,110.00,000.00
00780,000390000,110.00,000.00
00781,000390500,110.00,000.00
00782,000391000,110.00,000.00
00783,000391500,110.00,000.00
00784,000392000,110.00,000.00
00785,000392500,110.00,000.00
00786,000393000,110.00,000.00
00787,000393500,109.50,000.00
00788,000394000,109.50,000.00
00789,000394500,108.75,000.00
00790,000395000,108.75,000.00
00791,000395500,108.75,000.00
00792,000396000,108.75,000.00
00793,000396500,108.75,000.00
00794,000397000,108.50,000.00
00795,000397500,108.50,000.00
00796,000398000,108.25,000.00
00797,000398500,108.25,000.00
00798,000399000,108.25,000.00
00799,000399500,108.25,000.00
00800,000400000,108.25,000.00
00801,000400500,108.00,000.00
00802,000401000,108.00,000.00
00803,000401500,108.00,000.00
00804,000402000,107.75,000.00
00805,000402500,107.75,000.00
00806,000403000,107.75,000.00
00807,000403500,107.75,000.00
