Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00436,000218000,055.50,14.18,032.50,0,065.83
00437,000218500,055.50,14.18,053.23,0,066.04
00438,000219000,055.50,14.18,053.97,0,066.25
00439,000219500,055.50,14.17,054.70,0,066.46
00440,000220000,055.50,14.17,055.44,0,066.67
00441,000220500,055.75,14.20,045.42,0,066.88
00442,000221000,055.75,14.20,056.16,0,067.08
00443,000221500,055.75,14.20,056.90,0,067.29
00444,000222000,055.25,14.21,079.15,0,067.50
00445,000222500,055.25,14.21,059.90,0,067.71
00446,000223000,056.25,14.22,017.64,0,067.92
00447,000223500,056.25,14.22,058.39,0,068.12
00448,000224000,056.25,14.22,059.13,0,068.33
00449,000224500,056.25,14.24,059.88,0,068.54
00450,000225000,056.25,14.24,060.63,0,068.75
00451,000225500,056.50,14.25,050.63,0,068.96
00452,000226000,056.50,14.25,061.38,0,069.17
00453,000226500,056.75,14.27,051.38,0,069.38
00454,000227000,056.75,14.27,062.14,0,069.58
00455,000227500,056.75,14.27,062.89,0,069.79
00456,000228000,057.00,14.27,052.90,0,070.00
00457,000228500,057.00,14.27,063.65,0,070.21
00458,000229000,057.00,14.28,064.41,0,070.42
00459,000229500,057.00,14.28,065.17,0,070.62
00460,000230000,057.00,14.28,065.94,0,070.83
00461,000230500,057.25,14.29,055.95,0,071.04
00462,000231000,057.25,14.29,066.71,0,071.25
00463,000231500,057.50,14.30,056.73,0,071.46
00464,000232000,057.50,14.30,067.50,0,071.67
00465,000232500,058.00,14.31,046.76,0,071.88
00466,000233000,058.00,14.31,067.53,0,072.08
00467,000233500,058.00,14.31,068.29,0,072.29
00468,000234000,058.50,14.32,047.56,0,072.50
00469,000234500,058.50,14.32,068.33,0,072.71
00470,000235000,058.50,14.34,069.09,0,072.92
00471,000235500,058.50,14.34,069.87,0,073.12
00472,000236000,058.50,14.34,070.64,0,073.33
00473,000236500,059.50,14.32,028.40,0,073.54
00474,000237000,059.50,14.32,069.17,0,073.75
00475,000237500,060.50,14.34,026.93,0,073.96
00476,000238000,060.50,14.34,067.69,0,074.17
00477,000238500,060.50,14.34,068.46,0,074.38
00478,000239000,060.75,14.35,058.47,0,074.58
00479,000239500,060.75,14.35,069.24,0,074.79
00480,000240000,061.50,14.35,037.75,0,075.00
00481,000240500,061.50,14.35,070.30,0,075.25
00482,000241000,061.50,14.34,071.19,0,075.50
00483,000241500,061.50,14.34,072.08,0,075.75
